Test,Method,Metric,mu,learning_rate,tau,server_learning_rate,beta1,beta2,optimizer_class
client_test_0,Pooled Training,0.6452513966480447,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Pooled Training,0.8181818181818182,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Pooled Training,0.8240740740740741,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Pooled Training,0.3958333333333333,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Pooled Training,0.9787234042553192,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,Pooled Training,0.6666666666666666,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Pooled Training,0.7509157509157509,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 0,0.7206703910614525,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 0,0.7272727272727273,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 0,0.7777777777777778,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 0,0.4791666666666667,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Local 0,0.6808510638297872,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,Local 0,1.0,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 0,0.6684981684981685,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 1,0.7122905027932961,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 1,0.4545454545454545,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 1,0.4814814814814814,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 1,0.8333333333333334,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Local 1,0.3617021276595745,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,Local 1,0.6666666666666666,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 1,0.5659340659340659,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 2,0.6256983240223464,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 2,0.6818181818181818,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 2,0.8888888888888888,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 2,0.25,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Local 2,0.7659574468085106,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,Local 2,0.3333333333333333,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 2,0.7025641025641025,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 3,0.5279329608938548,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 3,0.6590909090909091,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 3,0.7870370370370371,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 3,0.7916666666666666,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Local 3,0.4042553191489361,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,Local 3,0.6666666666666666,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 3,0.5355311355311355,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 4,0.7849162011173184,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 4,0.6818181818181818,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 4,0.5370370370370371,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 4,0.3958333333333333,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Local 4,0.9148936170212766,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,Local 4,1.0,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 4,0.7483516483516484,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Local 5,0.6033519553072626,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Local 5,0.7727272727272727,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Local 5,0.7314814814814815,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Local 5,0.4375,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Local 5,0.9361702127659576,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,Local 5,0.6666666666666666,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Local 5,0.7153846153846154,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Ensemble,0.7430167597765364,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Ensemble,0.7954545454545454,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Ensemble,0.8240740740740741,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Ensemble,0.5,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Ensemble,0.9148936170212766,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,Ensemble,1.0,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Ensemble,0.7893772893772893,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,FedAvg100,0.9022346368715084,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,FedAvg100,0.6590909090909091,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,FedAvg100,0.7962962962962963,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,FedAvg100,0.5416666666666666,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,FedAvg100,0.6808510638297872,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,FedAvg100,0.6666666666666666,,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,FedAvg100,0.7391941391941392,,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,FedProx100,0.6452513966480447,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,FedProx100,0.2727272727272727,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,FedProx100,0.4722222222222222,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,FedProx100,0.8333333333333334,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,FedProx100,0.2553191489361702,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_5,FedProx100,0.3333333333333333,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,FedProx100,0.4937728937728938,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,FedAdagrad100,0.8296089385474861,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdagrad100,0.7727272727272727,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdagrad100,0.7129629629629629,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedAdagrad100,0.5416666666666666,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_4,FedAdagrad100,0.9787234042553192,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_5,FedAdagrad100,1.0,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdagrad100,0.8179487179487179,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdam100,0.8519553072625698,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdam100,0.5909090909090909,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdam100,0.8981481481481481,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedAdam100,0.5,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_4,FedAdam100,0.851063829787234,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_5,FedAdam100,0.6666666666666666,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdam100,0.8201465201465201,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedYogi100,0.835195530726257,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedYogi100,0.5227272727272727,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedYogi100,0.8981481481481481,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedYogi100,0.5,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_4,FedYogi100,0.9787234042553192,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_5,FedYogi100,1.0,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedYogi100,0.827106227106227,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,Cyclic100,0.7374301675977654,,0.01,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Cyclic100,0.7954545454545454,,0.01,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Cyclic100,0.7222222222222222,,0.01,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Cyclic100,0.5208333333333334,,0.01,,,,,<class 'torch.optim.adam.Adam'>
client_test_4,Cyclic100,0.9361702127659576,,0.01,,,,,<class 'torch.optim.adam.Adam'>
